Rank;Joueur;Nationalité;Position du joueur;Équipe;Compétition;Âge;Année de naissance;Match joué;Match commencé;Minutes jouées;Minutes jouées (90min);But;Passe décisive;But et passe décisive;But sans le pénalty;Pénalty  réussi;Pénalty raté;Carton jaune;Carton rouge;But attendus;But sans pénalty attendu;Passe décisive attendu;But et passe décisive attendue hors penalty;Progression ballon;Progression passe;Progression dribble;But mis par 90 minutes;Passe décisive faite par 90 minutes;But et passe décisive mis par 90 minutes;But mis par 90 minutes sans les pénalty;But et passe décisive mis par 90 minutes sans pénalty;But attendu pour 90 minutes;Passe décisive attendus pour 90 minutes;Nombre de but et de passe décisive attendus pour 90 minutes;But attendu pour 90 minutes sans penalty;Nombre de but et de passe décisive attendus pour 90 minutes sans penalty
206;Samuel Bamba;GER;FW;Dortmund;de Bundesliga;19;2004;2;0;47;0.5;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.3;5;2;7;0.00;0.00;0.00;0.00;0.00;0.51;0.15;0.67;0.51;0.67
207;Lameck Banda;ZAM;FW;Lecce;it Serie A;22;2001;21;17;1350;15.0;2;4;6;2;0;0;5;1;3.6;3.6;1.9;5.5;70;22;136;0.13;0.27;0.40;0.13;0.40;0.24;0.13;0.37;0.24;0.37
208;Daniel Bandeira;POR;MF;Hellas Verona;it Serie A;23;2000;14;3;446;5.0;0;0;0;0;0;0;2;0;0.1;0.1;0.2;0.3;9;34;8;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.06;0.01;0.06
209;Mamady Bangré;BFA;FW,MF;Toulouse;fr Ligue 1;22;2001;8;0;101;1.1;0;1;1;0;0;0;2;0;0.1;0.1;0.7;0.8;10;9;12;0.00;0.89;0.89;0.00;0.89;0.12;0.59;0.71;0.12;0.71
210;Mattia Bani;ITA;DF;Genoa;it Serie A;29;1993;27;27;2306;25.6;2;0;2;2;0;0;9;0;1.2;1.2;0.1;1.3;5;37;4;0.08;0.00;0.08;0.08;0.08;0.05;0.00;0.05;0.05;0.05
211;Léo Baptistão;BRA;FW;Almería;es La Liga;30;1992;32;22;1837;20.4;6;0;6;6;0;0;6;1;5.3;5.3;1.8;7.1;26;45;88;0.29;0.00;0.29;0.29;0.29;0.25;0.09;0.34;0.25;0.34
212;Shandon Baptiste;GRN;MF;Brentford;eng Premier League;25;1998;10;2;229;2.5;1;1;2;1;0;0;1;0;0.9;0.9;0.2;1.1;3;5;1;0.39;0.39;0.79;0.39;0.79;0.35;0.08;0.43;0.35;0.43
213;Antonín Barák;CZE;MF,FW;Fiorentina;it Serie A;28;1994;21;8;808;9.0;2;3;5;2;0;0;2;0;1.5;1.5;2.2;3.8;17;33;64;0.22;0.33;0.56;0.22;0.56;0.17;0.25;0.42;0.17;0.42
214;Valentín Barco;ARG;DF,FW;Brighton;eng Premier League;19;2004;6;3;307;3.4;0;0;0;0;0;0;1;0;0.2;0.2;0.2;0.4;8;14;20;0.00;0.00;0.00;0.00;0.00;0.05;0.07;0.13;0.05;0.13
215;Bradley Barcola;FRA;FW;Lyon;fr Ligue 1;20;2002;3;3;270;3.0;0;0;0;0;0;0;1;0;0.1;0.1;0.3;0.4;11;9;31;0.00;0.00;0.00;0.00;0.00;0.02;0.10;0.12;0.02;0.12
216;Bradley Barcola;FRA;FW,MF;Paris S-G;fr Ligue 1;20;2002;25;18;1370;15.2;4;7;11;4;0;0;3;1;4.5;4.5;5.2;9.8;93;56;216;0.26;0.46;0.72;0.26;0.72;0.30;0.34;0.64;0.30;0.64
217;Melvin Bard;FRA;DF;Nice;fr Ligue 1;22;2000;32;31;2654;29.5;1;2;3;1;0;0;7;1;0.5;0.5;2.8;3.4;60;111;99;0.03;0.07;0.10;0.03;0.10;0.02;0.10;0.11;0.02;0.11
218;Nicolò Barella;ITA;MF;Inter;it Serie A;26;1997;37;34;2846;31.6;2;3;5;2;0;0;7;0;5.1;5.1;3.4;8.5;68;278;144;0.06;0.09;0.16;0.06;0.16;0.16;0.11;0.27;0.16;0.27
219;Kike Barja;ESP;FW,MF;Osasuna;es La Liga;26;1997;16;3;303;3.4;0;0;0;0;0;0;3;0;0.2;0.2;0.5;0.7;17;8;41;0.00;0.00;0.00;0.00;0.00;0.07;0.14;0.20;0.07;0.20
220;Ross Barkley;ENG;MF;Luton Town;eng Premier League;29;1993;32;30;2618;29.1;5;4;9;5;0;0;6;0;4.1;4.1;3.7;7.9;48;163;39;0.17;0.14;0.31;0.17;0.31;0.14;0.13;0.27;0.14;0.27
221;Aymen Barkok;MAR;MF,FW;Mainz 05;de Bundesliga;25;1998;13;1;321;3.6;1;0;1;1;0;1;2;0;1.7;0.9;0.3;1.2;14;16;33;0.28;0.00;0.28;0.28;0.28;0.48;0.07;0.55;0.26;0.33
